,car,starting_price,combined_mpg,expert_rating,consumer_rating
0,Certified 2015 Honda CR‑V SUV,"$14,378",28 MPG,4.9 ,4.1 
1,Certified 2017 Honda CR‑V SUV,"$20,136",27 MPG,4.9 ,4.2 
2,Certified 2019 Toyota RAV4 SUV,"$24,205",30 MPG,4.9 ,3.6 
3,Certified 2019 Toyota RAV4 Hybrid SUV,"$27,046",39 MPG,4.9 ,3.6 
4,New 2020 Honda Accord Sedan,"$24,975",33 MPG,4.8 ,4.4 
5,New 2020 Honda CR‑V SUV,"$26,170",30 MPG,4.8 ,4.2 
6,New 2020 Honda Accord Hybrid Sedan,"$26,575",48 MPG,4.8 ,4.1 
7,New 2020 Toyota RAV4 SUV,"$27,070",30 MPG,4.8 ,3.6 
8,New 2020 Toyota RAV4 Hybrid SUV,"$29,470",40 MPG,4.8 ,3.6 
9,New 2020 Kia Telluride SUV,"$33,060",23 MPG,4.8 ,4.5 
10,New 2020 Lexus ES Sedan,"$40,925",26 MPG,4.8 ,3.6 
11,New 2020 Mercedes‑Benz GLE SUV,"$54,695",22 MPG,4.8 ,3.2 
12,New 2019 Audi A5 Coupe,"$45,195",27 MPG,4.8 ,4.7 
13,New 2019 Audi S5 Coupe,"$53,395",24 MPG,4.8 ,5 
14,New 2019 Audi Q8 SUV,"$68,395",19 MPG,4.8 ,5 
15,New 2019 Audi RS 5 Sedan,"$75,195",20 MPG,4.8 ,5 
16,Certified 2015 Honda Fit Hatchback,"$9,793",32 MPG,4.8 ,4.5 
17,Certified 2016 Honda Civic Coupe,"$13,380",34 MPG,4.8 ,4.4 
18,Certified 2016 MAZDA MX‑5 Miata Convertible,"$15,435",30 MPG,4.8 ,4.9 
19,Certified 2016 Honda CR‑V SUV,"$16,722",27 MPG,4.8 ,4.1 
20,Certified 2018 Honda Accord Sedan,"$19,563",33 MPG,4.8 ,4.4 
21,Certified 2016 Honda Pilot SUV,"$19,600",21 MPG,4.8 ,3.4 
22,Certified 2016 Mercedes‑Benz C‑Class Sedan,"$20,673",28 MPG,4.8 ,4.3 
23,Certified 2018 Honda Accord Hybrid Sedan,"$20,996",47 MPG,4.8 ,4.1 
24,Certified 2018 Honda CR‑V SUV,"$22,273",27 MPG,4.8 ,4.2 
25,Certified 2017 Chevrolet Bolt EV Hatchback,"$22,700",119 MPGe,4.8 ,4.8 
26,Certified 2016 Acura MDX SUV,"$23,350",22 MPG,4.8 ,4.1 
27,Certified 2019 Honda Accord Hybrid Sedan,"$23,533",48 MPG,4.8 ,4.1 
28,Certified 2019 Honda CR‑V SUV,"$24,470",27 MPG,4.8 ,4.2 
29,Certified 2016 Mercedes‑Benz GLC SUV,"$25,667",24 MPG,4.8 ,4 
30,Certified 2017 Mercedes‑Benz E‑Class Coupe,"$27,976",23 MPG,4.8 ,4.5 
31,Certified 2018 Audi A5 Coupe,"$30,466",27 MPG,4.8 ,4.7 
32,Certified 2017 Audi Q7 SUV,"$32,817",22 MPG,4.8 ,4.5 
33,Certified 2018 Audi Q5 SUV,"$32,963",25 MPG,4.8 ,4.7 
34,Certified 2018 Ford Expedition MAX SUV,"$33,900",18 MPG,4.8 ,4.2 
35,Certified 2019 Lexus ES Sedan,"$37,152",26 MPG,4.8 ,3.6 
36,Certified 2018 Ford Expedition SUV,"$37,200",19 MPG,4.8 ,4.2 
37,Certified 2018 Audi SQ5 SUV,"$44,834",21 MPG,4.8 ,4.7 
38,Certified 2019 Chevrolet Corvette Coupe,"$47,477",18 MPG,4.8 ,4.9 
39,Certified 2017 Mercedes‑Benz Mercedes‑AMG E‑Class Sedan,"$47,729",21 MPG,4.8 ,4.5 
40,Certified 2019 BMW X5 SUV,"$51,750",22 MPG,4.8 ,4.7 
41,Certified 2018 Audi RS 5 Coupe,"$60,850",21 MPG,4.8 ,5 
42,New 2020 Toyota Prius Prime Hatchback,"$28,855",54 MPG | 133 MPGe,4.7 ,4.7 
43,New 2020 Honda Pilot SUV,"$32,770",22 MPG,4.7 ,3.4 
44,New 2020 Hyundai Palisade SUV,"$33,115",22 MPG,4.7 ,4.4 
45,New 2020 Volvo XC40 SUV,"$34,695",27 MPG,4.7 ,5 
46,New 2020 Audi Q5 SUV,"$44,295",24 MPG,4.7 ,4.7 
47,New 2020 Ford Expedition SUV,"$54,205",19 MPG,4.7 ,4.2 
48,New 2020 Mercedes‑Benz E‑Class Sedan,"$55,045",26 MPG,4.7 ,4.5 
49,New 2020 Ford Expedition MAX SUV,"$57,230",19 MPG,4.7 ,4.2 
50,New 2019 Honda Clarity Electric Sedan,"$37,575",114 MPGe,4.7 ,4.4 
51,New 2019 Mercedes‑Benz GLC Coupe SUV,"$48,295",23 MPG,4.7 ,4 
52,New 2019 Audi S4 Sedan,"$51,195",24 MPG,4.7 ,5 
53,New 2019 Audi Q7 SUV,"$54,545",21 MPG,4.7 ,4.5 
54,New 2019 Mercedes‑Benz Mercedes‑AMG E‑Class Sedan,"$73,475",21 MPG,4.7 ,4.5 
55,Certified 2016 Honda Fit Hatchback,"$12,447",35 MPG,4.7 ,4.5 
56,Certified 2015 Honda Accord Sedan,"$12,764",27 MPG,4.7 ,4.4 
57,Certified 2015 MAZDA CX‑5 SUV,"$12,817",26 MPG,4.7 ,4.6 
58,Certified 2017 Honda Fit Hatchback,"$13,284",32 MPG,4.7 ,4.5 
59,Certified 2017 Honda Civic Coupe,"$13,868",32 MPG,4.7 ,4.4 
60,Certified 2016 MAZDA CX‑5 SUV,"$14,006",26 MPG,4.7 ,4.6 
61,Certified 2015 Honda Odyssey Van/Minivan,"$14,618",22 MPG,4.7 ,4.4 
62,Certified 2016 Honda Accord Sedan,"$14,635",27 MPG,4.7 ,4.4 
63,Certified 2016 Honda HR‑V SUV,"$14,749",28 MPG,4.7 ,4.3 
64,Certified 2018 Honda Civic Coupe,"$16,009",32 MPG,4.7 ,4.4 
65,Certified 2015 Honda Accord Hybrid Sedan,"$16,225",47 MPG,4.7 ,4.8 
66,Certified 2017 Honda HR‑V SUV,"$16,300",28 MPG,4.7 ,4.3 
67,Certified 2017 MAZDA CX‑5 SUV,"$16,786",26 MPG,4.7 ,4.5 
68,Certified 2017 MAZDA CX‑5 SUV,"$16,786",26 MPG,4.7 ,4.5 
69,Certified 2018 Toyota Camry Sedan,"$17,557",34 MPG,4.7 ,3.9 
70,Certified 2016 Scion FR‑S Coupe,"$17,726",25 MPG,4.7 ,4.7 
71,Certified 2017 MAZDA MX‑5 Miata Convertible,"$17,860",29 MPG,4.7 ,4.9 
72,Certified 2016 Subaru BRZ Coupe,"$17,972",25 MPG,4.7 ,4.8 
73,Certified 2017 Ford Mustang Convertible,"$18,355",21 MPG,4.7 ,4.7 
